date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:23	36024/36024	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2006:51:01%20GMT	https://assets.ls-assets.com/provider/istock/2205110548.jpg?w=480	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/22051105488e75.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:23	49176/49176	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2006:51:03%20GMT	https://assets.ls-assets.com/provider/istock/2224449430.jpg?w=480	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/22244494308e75.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:23	60748/60748	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2006:51:02%20GMT	https://assets.ls-assets.com/provider/istock/2212473849.jpg?w=480	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/22124738498e75.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:24	38404/38404	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2006:51:04%20GMT	https://assets.ls-assets.com/provider/istock/2196752118.jpg?w=480	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/21967521188e75.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:25	862782/862782	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2016:21:19%20GMT	https://assets.ls-assets.com/provider/istock/2212473849.jpg?w=1920	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/provider/istock/2212473849f419.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:27	1902/1902	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jul%202026%2016:21:25%20GMT	https://assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/6bbcdf45-5d73-416a-b5ce-8cee2daabaf9.jpg?w=160	C:/Users/go.p/Desktop/18yard/assets.ls-assets.com/uploads/d1596f6d-cf73-41df-8335-5d1502727ff8/6bbcdf45-5d73-416a-b5ce-8cee2daabaf9b6bf.jpg	(from http://18-yard.share.landingsite.dev/)
19:21:28	890/890	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202026%2016:21:28%20GMT	http://18-yard.share.landingsite.dev/assets/manifest-5154d75a.js	C:/Users/go.p/Desktop/18yard/18-yard.share.landingsite.dev/assets/manifest-5154d75a.js	(from http://18-yard.share.landingsite.dev/)
19:21:32	186500/186500	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202026%2016:21:29%20GMT	http://18-yard.share.landingsite.dev/assets/entry.client-mpaM9vh6.js	C:/Users/go.p/Desktop/18yard/18-yard.share.landingsite.dev/assets/entry.client-mpaM9vh6.js	(from http://18-yard.share.landingsite.dev/)
19:21:33	128234/128234	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202026%2016:21:31%20GMT	http://18-yard.share.landingsite.dev/assets/jsx-runtime-BFnmFciN.js	C:/Users/go.p/Desktop/18yard/18-yard.share.landingsite.dev/assets/jsx-runtime-BFnmFciN.js	(from http://18-yard.share.landingsite.dev/)
19:21:33	14675/14675	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202026%2016:21:33%20GMT	http://18-yard.share.landingsite.dev/assets/root-Cou6NP_V.js	C:/Users/go.p/Desktop/18yard/18-yard.share.landingsite.dev/assets/root-Cou6NP_V.js	(from http://18-yard.share.landingsite.dev/)
19:21:34	2025/2025	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202026%2016:21:34%20GMT	http://18-yard.share.landingsite.dev/assets/x-NcOBHvaT.js	C:/Users/go.p/Desktop/18yard/18-yard.share.landingsite.dev/assets/x-NcOBHvaT.js	(from http://18-yard.share.landingsite.dev/)
19:21:35	38885/38885	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2009%20Jul%202026%2016:21:35%20GMT	http://18-yard.share.landingsite.dev/assets/_index-D5KnMWof.js	C:/Users/go.p/Desktop/18yard/18-yard.share.landingsite.dev/assets/_index-D5KnMWof.js	(from http://18-yard.share.landingsite.dev/)
19:21:36	43067/43067	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Jul%202026%2016:21:36%20GMT	http://18-yard.share.landingsite.dev/assets/root-DhbH9tQl.css	C:/Users/go.p/Desktop/18yard/18-yard.share.landingsite.dev/assets/root-DhbH9tQl.css	(from http://18-yard.share.landingsite.dev/)
